work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,Job Group
2020,EN,PT,Data Scientist,"21 669,00",IT,50,IT,S,Data Scientist
2020,SE,FT,Data Scientist,"412 000,00",US,100,US,L,Data Scientist
2020,SE,FT,Machine Learning Engineer,"45 618,00",HR,100,HR,S,Machine Learning / AI
2020,EN,FT,Data Scientist,"62 726,00",DE,50,DE,S,Data Scientist
2020,EN,FT,Data Scientist,"49 268,00",DE,0,DE,S,Data Scientist
2020,SE,FT,Data Science Manager,"190 200,00",US,100,US,M,Management / Leadership
2020,EN,FT,Data Scientist,"105 000,00",US,100,US,S,Data Scientist
2020,SE,FT,Data Scientist,"91 237,00",AT,0,AT,S,Data Scientist
2020,MI,FT,Data Scientist,"62 726,00",FR,50,LU,S,Data Scientist
2020,MI,FT,Data Scientist,"42 197,00",FR,50,FR,S,Data Scientist
2021,EN,FT,Research Scientist,"82 528,00",GB,50,GB,L,Research
2021,EX,FT,BI Data Analyst,"150 000,00",IN,100,US,L,Data Analyst
2021,EX,FT,Head of Data,"235 000,00",US,100,US,L,Management / Leadership
2021,SE,FT,Data Scientist,"53 192,00",FR,50,FR,L,Data Scientist
2021,MI,FT,BI Data Analyst,"100 000,00",US,100,US,M,Data Analyst
2021,MI,PT,3D Computer Vision Researcher,"5 409,00",IN,50,IN,M,Machine Learning / AI
2021,MI,CT,ML Engineer,"270 000,00",US,100,US,L,Machine Learning / AI
2021,EN,FT,Data Analyst,"80 000,00",US,100,US,M,Data Analyst
2021,SE,FT,Data Analytics Engineer,"79 197,00",DE,100,DE,L,Data Engineer
2021,MI,FT,Data Engineer,"140 000,00",US,100,US,L,Data Engineer
2021,MI,FT,Applied Data Scientist,"54 238,00",GB,50,CA,L,Data Scientist
2021,MI,FT,Machine Learning Engineer,"47 282,00",ES,100,ES,S,Machine Learning / AI
2021,EX,FT,Director of Data Science,"153 667,00",IT,100,PL,L,Management / Leadership
2021,MI,FT,Data Engineer,"28 476,00",PL,100,PL,L,Data Engineer
2021,EN,FT,Data Analyst,"59 102,00",FR,50,FR,M,Data Analyst
2021,MI,FT,Data Analytics Engineer,"110 000,00",US,100,US,L,Data Engineer
2021,SE,FT,Lead Data Analyst,"170 000,00",US,100,US,L,Data Analyst
2021,SE,FT,Data Analyst,"80 000,00",BG,100,US,S,Data Analyst
2021,SE,FT,Marketing Data Analyst,"88 654,00",GR,100,DK,L,Data Analyst
2021,EN,FT,Data Science Consultant,"76 833,00",DE,100,DE,S,Research
2021,MI,FT,Lead Data Analyst,"19 609,00",IN,100,IN,L,Data Analyst
2021,SE,FT,Lead Data Engineer,"276 000,00",US,0,US,L,Data Engineer
2021,EN,FT,Data Scientist,"29 751,00",IN,50,IN,L,Data Scientist
2021,MI,FT,Cloud Data Engineer,"89 294,00",SG,50,SG,L,Data Engineer
2021,EN,PT,AI Scientist,"12 000,00",BR,100,US,S,Machine Learning / AI
2021,MI,FT,Financial Data Analyst,"450 000,00",US,100,US,L,Data Analyst
2021,EN,FT,Computer Vision Software Engineer,"70 000,00",US,100,US,M,Machine Learning / AI
2021,MI,FT,Computer Vision Software Engineer,"95 746,00",DE,100,US,S,Machine Learning / AI
2021,MI,FT,Data Analyst,"75 000,00",US,0,US,L,Data Analyst
2021,SE,FT,Data Engineer,"150 000,00",US,100,US,L,Data Engineer
2021,MI,FT,BI Data Analyst,"36 259,00",HU,50,US,L,Data Analyst
2021,MI,FT,Data Analyst,"62 000,00",US,0,US,L,Data Analyst
2021,MI,FT,Data Scientist,"73 000,00",US,0,US,L,Data Scientist
2021,MI,FT,Data Analyst,"51 519,00",GB,50,GB,L,Data Analyst
2021,MI,FT,Research Scientist,"187 442,00",CA,100,CA,L,Research
2021,SE,FT,Data Engineer,"115 000,00",US,100,US,S,Data Engineer
2021,SE,FT,Data Engineer,"150 000,00",US,100,US,M,Data Engineer
2021,EN,FT,Data Engineer,"30 428,00",IN,100,IN,L,Data Engineer
2021,SE,FT,Machine Learning Engineer,"94 564,00",DE,50,DE,L,Machine Learning / AI
2021,SE,FT,Director of Data Engineering,"113 476,00",GB,100,GB,M,Management / Leadership
2021,SE,FT,Lead Data Engineer,"103 160,00",GB,100,GB,S,Data Engineer
2021,EN,PT,AI Scientist,"12 000,00",PK,100,US,M,Machine Learning / AI
2021,MI,FT,Data Engineer,"45 391,00",NL,100,NL,L,Data Engineer
2021,EN,FT,Machine Learning Scientist,"225 000,00",US,100,US,L,Machine Learning / AI
2021,MI,FT,Data Scientist,"50 000,00",NG,100,NG,L,Data Scientist
2021,MI,FT,Data Science Engineer,"40 189,00",GR,100,GR,M,Data Engineer
2021,EN,FT,Data Analyst,"90 000,00",US,100,US,S,Data Analyst
2021,MI,FT,Data Engineer,"200 000,00",US,100,US,L,Data Engineer
2021,MI,FT,Big Data Engineer,"60 000,00",ES,50,RO,M,Data Engineer
2021,SE,FT,Principal Data Engineer,"200 000,00",US,100,US,M,Data Engineer
2021,EN,FT,Data Analyst,"50 000,00",US,100,US,M,Data Analyst
2021,EN,FT,Applied Data Scientist,"110 037,00",GB,0,GB,L,Data Scientist
2021,EN,PT,Data Analyst,"10 354,00",ES,50,ES,M,Data Analyst
2021,MI,FT,Principal Data Scientist,"151 000,00",US,100,US,L,Data Scientist
2021,SE,FT,Machine Learning Scientist,"120 000,00",US,50,US,S,Machine Learning / AI
2021,MI,FT,Data Scientist,"9 466,00",IN,0,IN,S,Data Scientist
2021,EN,FT,Machine Learning Engineer,"20 000,00",IN,100,IN,S,Machine Learning / AI
2021,SE,FT,Lead Data Scientist,"40 570,00",IN,50,IN,L,Data Scientist
2021,EN,FT,Machine Learning Developer,"100 000,00",IQ,50,IQ,S,Machine Learning / AI
2021,EN,FT,Data Scientist,"49 646,00",FR,50,FR,M,Data Scientist
2021,MI,FT,Applied Machine Learning Scientist,"38 400,00",VN,100,US,M,Machine Learning / AI
2021,SE,FT,Computer Vision Engineer,"24 000,00",BR,100,BR,M,Machine Learning / AI
2021,EN,FT,Data Scientist,"100 000,00",US,0,US,S,Data Scientist
2021,MI,FT,Data Analyst,"90 000,00",US,100,US,M,Data Analyst
2021,MI,FT,ML Engineer,"63 711,00",JP,50,JP,S,Machine Learning / AI
2021,MI,FT,ML Engineer,"77 364,00",JP,50,JP,S,Machine Learning / AI
2021,SE,FT,Principal Data Scientist,"220 000,00",US,0,US,L,Data Scientist
2021,EN,FT,Data Scientist,"80 000,00",US,100,US,M,Data Scientist
2021,MI,FT,Data Analyst,"135 000,00",US,100,US,L,Data Analyst
2021,SE,FT,Data Science Manager,"240 000,00",US,0,US,L,Management / Leadership
2021,SE,FT,Data Engineering Manager,"150 000,00",US,0,US,L,Management / Leadership
2021,MI,FT,Data Scientist,"82 500,00",US,100,US,S,Data Scientist
2021,MI,FT,Data Engineer,"100 000,00",US,100,US,L,Data Engineer
2021,SE,FT,Machine Learning Engineer,"82 744,00",BE,50,BE,M,Machine Learning / AI
2021,MI,FT,Research Scientist,"62 649,00",FR,50,FR,M,Research
2021,MI,FT,Data Engineer,"90 000,00",US,100,US,L,Data Engineer
2021,SE,FT,Data Engineering Manager,"153 000,00",US,100,US,L,Management / Leadership
2021,SE,FT,Cloud Data Engineer,"160 000,00",BR,100,US,S,Data Engineer
2021,SE,FT,Director of Data Science,"168 000,00",JP,0,JP,S,Management / Leadership
2021,MI,FT,Data Scientist,"150 000,00",US,100,US,M,Data Scientist
2021,MI,FT,Data Scientist,"75 774,00",CA,100,CA,L,Data Scientist
2021,EN,FT,Data Scientist,"13 400,00",UA,100,UA,L,Data Scientist
2021,SE,FT,Data Science Manager,"144 000,00",US,100,US,L,Management / Leadership
2021,SE,FT,Data Science Engineer,"127 221,00",CA,50,CA,L,Data Engineer
2021,MI,FT,Data Scientist,"119 059,00",SG,100,IL,M,Data Scientist
2021,MI,FT,Applied Machine Learning Scientist,"423 000,00",US,50,US,L,Machine Learning / AI
2021,SE,FT,Data Analytics Manager,"120 000,00",US,100,US,M,Management / Leadership
2021,EN,FT,Machine Learning Engineer,"125 000,00",US,100,US,S,Machine Learning / AI
2021,EX,FT,Head of Data,"230 000,00",RU,50,RU,L,Management / Leadership
2021,EX,FT,Head of Data Science,"85 000,00",RU,0,RU,M,Management / Leadership
2021,MI,FT,Data Engineer,"28 369,00",MT,50,MT,L,Data Engineer
2021,EN,FT,Data Science Consultant,"63 831,00",DE,50,DE,L,Research
2021,EX,FT,Director of Data Science,"130 026,00",DE,50,DE,M,Management / Leadership
2021,SE,FT,Data Specialist,"165 000,00",US,100,US,L,Data Analyst
2021,EN,FT,Data Engineer,"80 000,00",US,100,US,L,Data Engineer
2021,EX,FT,Director of Data Science,"250 000,00",US,0,US,L,Management / Leadership
2021,EN,FT,BI Data Analyst,"55 000,00",US,50,US,S,Data Analyst
2021,MI,FT,Data Architect,"150 000,00",US,100,US,L,Data Engineer
2021,MI,FT,Data Architect,"170 000,00",US,100,US,L,Data Engineer
2021,MI,FT,Data Engineer,"82 528,00",GB,100,GB,L,Data Engineer
2021,EN,FT,Data Analyst,"60 000,00",US,100,US,S,Data Analyst
2021,SE,FT,Principal Data Scientist,"235 000,00",US,100,US,L,Data Scientist
2021,SE,FT,Research Scientist,"60 757,00",PT,50,PT,L,Research
2021,SE,FT,Data Engineering Manager,"174 000,00",US,100,US,L,Management / Leadership
2021,MI,FT,Data Scientist,"2 859,00",MX,0,MX,S,Data Scientist
2021,MI,FT,Data Scientist,"40 038,00",CL,100,CL,L,Data Scientist
2021,EN,FT,Machine Learning Engineer,"81 000,00",US,50,US,S,Machine Learning / AI
2021,MI,FT,Data Scientist,"5 679,00",IN,100,US,S,Data Scientist
2021,MI,FT,Big Data Engineer,"22 611,00",IN,0,IN,L,Data Engineer
2021,MI,FT,Data Scientist,"90 734,00",DE,50,DE,L,Data Scientist
2021,MI,FT,Data Engineer,"26 005,00",RO,0,US,L,Data Engineer
2021,SE,FT,Finance Data Analyst,"61 896,00",GB,50,GB,L,Data Analyst
2021,MI,FL,Machine Learning Scientist,"12 000,00",PK,50,PK,M,Machine Learning / AI
2021,MI,FT,Data Engineer,"4 000,00",IR,100,IR,M,Data Engineer
2021,SE,FT,Data Analytics Engineer,"50 000,00",VN,100,GB,M,Data Engineer
2021,EX,FT,Data Science Consultant,"69 741,00",FR,100,ES,S,Research
2021,SE,FT,Data Engineer,"76 833,00",RO,50,GB,S,Data Engineer
2021,MI,FT,Machine Learning Engineer,"74 000,00",JP,50,JP,S,Machine Learning / AI
2021,SE,FT,Data Science Manager,"152 000,00",US,100,FR,L,Management / Leadership
2021,EN,FT,Machine Learning Engineer,"21 844,00",CO,50,CO,M,Machine Learning / AI
2021,MI,FT,Big Data Engineer,"18 000,00",MD,0,MD,S,Data Engineer
2021,SE,FT,Data Science Manager,"174 000,00",US,100,US,L,Management / Leadership
2021,SE,FT,Research Scientist,"96 113,00",CA,50,CA,L,Research
2021,MI,FT,Data Scientist,"147 000,00",US,50,US,L,Data Scientist
2021,EN,FT,BI Data Analyst,"9 272,00",KE,100,KE,S,Data Analyst
2021,SE,FT,Machine Learning Engineer,"24 342,00",IN,100,IN,L,Machine Learning / AI
2021,SE,FT,Data Science Manager,"54 094,00",IN,50,US,L,Management / Leadership
2021,EN,FT,Data Science Consultant,"90 000,00",US,100,US,S,Research
2021,MI,FT,Data Scientist,"61 467,00",DE,50,AT,M,Data Scientist
2021,SE,FT,Machine Learning Infrastructure Engineer,"195 000,00",US,100,US,M,Machine Learning / AI
2021,MI,FT,Data Scientist,"37 825,00",ES,100,ES,L,Data Scientist
2021,SE,FT,Research Scientist,"50 000,00",FR,100,US,S,Research
2021,MI,FT,Data Scientist,"160 000,00",US,100,US,L,Data Scientist
2021,MI,FT,Data Scientist,"12 901,00",BR,0,BR,S,Data Scientist
2021,SE,FT,Machine Learning Engineer,"200 000,00",US,100,US,L,Machine Learning / AI
2021,SE,FT,Data Engineer,"165 000,00",US,0,US,M,Data Engineer
2021,MI,FL,Data Engineer,"20 000,00",IT,0,US,L,Data Engineer
2021,SE,FT,Data Analytics Manager,"120 000,00",US,0,US,L,Management / Leadership
2021,MI,FT,Machine Learning Engineer,"24 823,00",SI,50,SI,L,Machine Learning / AI
2021,MI,FT,Research Scientist,"56 738,00",FR,50,FR,S,Research
2021,MI,FT,Data Engineer,"66 022,00",HK,50,GB,S,Data Engineer
2021,EN,FT,Big Data Engineer,"5 882,00",IN,0,CH,L,Data Engineer
2021,EN,FT,Machine Learning Engineer,"24 823,00",DE,50,DE,M,Machine Learning / AI
2021,SE,FT,Principal Data Engineer,"185 000,00",US,100,US,L,Data Engineer
2021,EN,PT,Computer Vision Engineer,"28 609,00",DK,50,DK,S,Machine Learning / AI
2021,MI,FT,Machine Learning Engineer,"88 654,00",BE,100,BE,M,Machine Learning / AI
2021,SE,FT,Data Analytics Manager,"140 000,00",US,100,US,L,Management / Leadership
2021,MI,FT,Machine Learning Engineer,"46 597,00",PL,100,PL,L,Machine Learning / AI
2021,MI,FT,Data Scientist,"116 914,00",GB,50,GB,L,Data Scientist
2021,MI,FT,Data Scientist,"33 808,00",IN,0,IN,M,Data Scientist
2021,MI,FT,Data Scientist,"56 256,00",GB,50,GB,L,Data Scientist
2021,SE,FT,Machine Learning Scientist,"225 000,00",US,100,CA,L,Machine Learning / AI
2021,EX,CT,Principal Data Scientist,"416 000,00",US,100,US,S,Data Scientist
2021,SE,FT,Data Scientist,"87 738,00",CA,100,CA,S,Data Scientist
2021,MI,FT,Data Scientist,"88 654,00",DE,50,DE,L,Data Scientist
2021,SE,FT,Data Scientist,"135 000,00",US,0,US,L,Data Scientist
2021,SE,FT,Data Analyst,"71 786,00",CA,100,CA,M,Data Analyst
2021,EN,FT,Big Data Engineer,"16 228,00",IN,100,IN,L,Data Engineer
2021,SE,FT,ML Engineer,"256 000,00",US,100,US,S,Machine Learning / AI
2021,SE,FT,Director of Data Engineering,"200 000,00",US,100,US,L,Management / Leadership
2021,SE,FT,Data Analyst,"200 000,00",US,100,US,L,Data Analyst
2021,MI,FT,Data Architect,"180 000,00",US,100,US,L,Data Engineer
2021,MI,FT,Head of Data Science,"110 000,00",US,0,US,S,Management / Leadership
2021,MI,FT,Research Scientist,"63 810,00",CA,100,CA,M,Research
2021,MI,FT,Data Scientist,"46 809,00",ES,100,ES,M,Data Scientist
2021,EN,FT,Data Scientist,"4 000,00",VN,0,VN,M,Data Scientist
2021,EN,FT,Data Engineer,"21 637,00",IN,50,IN,M,Data Engineer
2021,SE,FT,Data Scientist,"103 691,00",CA,100,CA,L,Data Scientist
2021,MI,FT,Data Analyst,"80 000,00",US,100,US,L,Data Analyst
2021,MI,FT,Data Engineer,"110 000,00",US,100,US,L,Data Engineer
2021,SE,FT,Data Scientist,"165 000,00",US,100,US,L,Data Scientist
2021,EN,FT,AI Scientist,"18 053,00",IN,100,AS,S,Machine Learning / AI
2021,MI,FT,Data Engineer,"72 212,00",GB,50,GB,L,Data Engineer
2021,EN,FT,Data Scientist,"36 643,00",FR,50,FR,L,Data Scientist
2021,MI,FT,Data Engineer,"12 103,00",TR,0,TR,M,Data Engineer
2021,SE,FT,Data Engineer,"96 282,00",GB,50,GB,L,Data Engineer
2021,SE,FT,Principal Data Analyst,"170 000,00",US,100,US,M,Data Analyst
2021,MI,FT,Data Scientist,"115 000,00",US,50,US,L,Data Scientist
2021,EN,FT,Data Scientist,"90 000,00",US,100,US,S,Data Scientist
2021,EX,FT,Principal Data Engineer,"600 000,00",US,100,US,L,Data Engineer
2021,EN,FT,Data Scientist,"28 399,00",IN,100,IN,M,Data Scientist
2021,MI,FT,Data Analyst,"93 000,00",US,100,US,L,Data Analyst
2021,SE,FT,Big Data Architect,"99 703,00",CA,50,CA,M,Data Engineer
2021,SE,FT,Principal Data Scientist,"173 762,00",DE,100,DE,M,Data Scientist
2021,SE,FT,Machine Learning Engineer,"185 000,00",US,50,US,L,Machine Learning / AI
2021,EX,FT,Director of Data Science,"141 846,00",DE,0,DE,L,Management / Leadership
2021,MI,FT,Data Scientist,"130 000,00",US,50,US,L,Data Scientist
2021,SE,FT,Data Analyst,"63 831,00",DE,50,DE,L,Data Analyst
2021,MI,FT,Data Scientist,"16 904,00",IN,100,IN,S,Data Scientist
2021,SE,FT,Machine Learning Engineer,"66 265,00",IN,0,IN,L,Machine Learning / AI
2021,MI,FT,Data Scientist,"25 532,00",RS,100,DE,S,Data Scientist
2021,SE,FT,Lead Data Engineer,"160 000,00",PR,50,US,S,Data Engineer
2021,MI,FT,Data Engineer,"93 150,00",US,0,US,M,Data Engineer
2021,MI,FT,Data Engineer,"111 775,00",US,0,US,M,Data Engineer
2021,MI,FT,Data Engineer,"28 016,00",TR,100,TR,M,Data Engineer
2021,EN,FT,Data Engineer,"65 013,00",DE,50,DE,M,Data Engineer
2021,EN,FT,Data Engineer,"72 500,00",US,100,US,L,Data Engineer
2021,SE,FT,Computer Vision Engineer,"18 907,00",BR,0,BR,M,Machine Learning / AI
2021,EN,FT,Data Science Consultant,"76 833,00",DE,0,DE,L,Research
2021,EN,FT,Machine Learning Engineer,"85 000,00",NL,100,DE,S,Machine Learning / AI
2021,SE,FT,Data Scientist,"77 684,00",FR,50,FR,M,Data Scientist
2021,EN,FT,Data Scientist,"100 000,00",US,100,US,M,Data Scientist
2021,EN,FT,Data Scientist,"58 000,00",US,50,US,L,Data Scientist
2021,SE,FT,AI Scientist,"55 000,00",ES,100,ES,L,Machine Learning / AI
2021,SE,FT,Data Scientist,"20 171,00",TR,50,TR,L,Data Scientist
2021,EN,FT,Business Data Analyst,"59 102,00",LU,100,LU,L,Data Analyst
2021,MI,FT,Data Engineer,"112 000,00",US,100,US,L,Data Engineer
2021,EN,FT,Research Scientist,"100 000,00",JE,0,CN,L,Research
2021,MI,PT,Data Engineer,"69 741,00",NL,100,NL,L,Data Engineer
2021,SE,CT,Staff Data Scientist,"105 000,00",US,100,US,M,Data Scientist
2021,MI,FT,Research Scientist,"69 999,00",CZ,50,CZ,L,Research
2021,SE,FT,Data Science Manager,"94 665,00",IN,50,IN,L,Management / Leadership
2021,SE,FT,Head of Data,"102 839,00",SI,100,SI,L,Management / Leadership
2021,MI,FT,Data Scientist,"109 000,00",US,50,US,L,Data Scientist
2021,MI,FT,Machine Learning Engineer,"51 064,00",IT,50,IT,L,Machine Learning / AI
2022,SE,FT,Data Engineer,"135 000,00",US,100,US,M,Data Engineer
2022,SE,FT,Data Analyst,"155 000,00",US,100,US,M,Data Analyst
2022,SE,FT,Data Analyst,"120 600,00",US,100,US,M,Data Analyst
2022,MI,FT,Data Scientist,"130 000,00",US,0,US,M,Data Scientist
2022,MI,FT,Data Scientist,"90 000,00",US,0,US,M,Data Scientist
2022,MI,FT,Data Engineer,"170 000,00",US,100,US,M,Data Engineer
2022,MI,FT,Data Engineer,"150 000,00",US,100,US,M,Data Engineer
2022,SE,FT,Data Analyst,"102 100,00",US,100,US,M,Data Analyst
2022,SE,FT,Data Analyst,"84 900,00",US,100,US,M,Data Analyst
2022,SE,FT,Data Scientist,"136 620,00",US,100,US,M,Data Scientist
2022,SE,FT,Data Scientist,"99 360,00",US,100,US,M,Data Scientist
2022,SE,FT,Data Scientist,"117 789,00",GB,0,GB,M,Data Scientist
2022,SE,FT,Data Scientist,"104 702,00",GB,0,GB,M,Data Scientist
2022,SE,FT,Data Scientist,"146 000,00",US,100,US,M,Data Scientist
2022,SE,FT,Data Scientist,"123 000,00",US,100,US,M,Data Scientist
2022,EN,FT,Data Engineer,"52 351,00",GB,100,GB,M,Data Engineer
2022,SE,FT,Data Analyst,"99 000,00",US,0,US,M,Data Analyst
2022,SE,FT,Data Analyst,"116 000,00",US,0,US,M,Data Analyst
2022,MI,FT,Data Analyst,"106 260,00",US,0,US,M,Data Analyst
2022,MI,FT,Data Analyst,"126 500,00",US,0,US,M,Data Analyst
2022,EX,FT,Data Engineer,"242 000,00",US,100,US,M,Data Engineer
2022,EX,FT,Data Engineer,"200 000,00",US,100,US,M,Data Engineer
2022,MI,FT,Data Scientist,"65 438,00",GB,0,GB,M,Data Scientist
2022,MI,FT,Data Scientist,"39 263,00",GB,0,GB,M,Data Scientist
2022,MI,FT,Data Engineer,"78 526,00",GB,0,GB,M,Data Engineer
2022,MI,FT,Data Engineer,"52 351,00",GB,0,GB,M,Data Engineer
2022,SE,FT,Data Scientist,"165 220,00",US,100,US,M,Data Scientist
2022,EN,FT,Data Engineer,"45 807,00",GB,100,GB,M,Data Engineer
2022,SE,FT,Data Scientist,"120 160,00",US,100,US,M,Data Scientist
2022,SE,FT,Data Analyst,"90 320,00",US,100,US,M,Data Analyst
2022,SE,FT,Data Engineer,"181 940,00",US,0,US,M,Data Engineer
2022,SE,FT,Data Engineer,"132 320,00",US,0,US,M,Data Engineer
2022,SE,FT,Data Engineer,"220 110,00",US,0,US,M,Data Engineer
2022,SE,FT,Data Engineer,"160 080,00",US,0,US,M,Data Engineer
2022,SE,FT,Data Scientist,"180 000,00",US,0,US,L,Data Scientist
2022,SE,FT,Data Scientist,"120 000,00",US,0,US,L,Data Scientist
2022,SE,FT,Data Analyst,"124 190,00",US,100,US,M,Data Analyst
2022,EX,FT,Data Analyst,"130 000,00",US,100,US,M,Data Analyst
2022,EX,FT,Data Analyst,"110 000,00",US,100,US,M,Data Analyst
2022,SE,FT,Data Analyst,"170 000,00",US,100,US,M,Data Analyst
2022,MI,FT,Data Analyst,"115 500,00",US,100,US,M,Data Analyst
2022,SE,FT,Data Analyst,"112 900,00",US,100,US,M,Data Analyst
2022,SE,FT,Data Engineer,"165 400,00",US,100,US,M,Data Engineer
2022,SE,FT,Data Engineer,"132 320,00",US,100,US,M,Data Engineer
2022,MI,FT,Data Analyst,"167 000,00",US,100,US,M,Data Analyst
2022,SE,FT,Data Engineer,"243 900,00",US,100,US,M,Data Engineer
2022,SE,FT,Data Analyst,"136 600,00",US,100,US,M,Data Analyst
2022,SE,FT,Data Analyst,"109 280,00",US,100,US,M,Data Analyst
2022,SE,FT,Data Engineer,"128 875,00",US,100,US,M,Data Engineer
2022,SE,FT,Data Engineer,"93 700,00",US,100,US,M,Data Engineer
2022,EX,FT,Head of Data Science,"224 000,00",US,100,US,M,Management / Leadership
2022,EX,FT,Head of Data Science,"167 875,00",US,100,US,M,Management / Leadership
2022,EX,FT,Analytics Engineer,"175 000,00",US,100,US,M,Data Engineer
2022,SE,FT,Data Engineer,"156 600,00",US,100,US,M,Data Engineer
2022,SE,FT,Data Engineer,"108 800,00",US,0,US,M,Data Engineer
2022,SE,FT,Data Scientist,"95 550,00",US,0,US,M,Data Scientist
